Pokemon('bulbasaur', 64, 'poison', 'grass')
Pokemon('ivysaur', 142, 'poison', 'grass')
Pokemon('venusaur', 236, 'poison', 'grass')
Pokemon('charmander', 62, 'fire', None)
Pokemon('charmeleon', 142, 'fire', None)
Pokemon('charizard', 240, 'flying', 'fire')
Pokemon('squirtle', 63, 'water', None)
Pokemon('wartortle', 142, 'water', None)
Pokemon('blastoise', 239, 'water', None)
Pokemon('caterpie', 39, 'bug', None)
Pokemon('metapod', 72, 'bug', None)
Pokemon('butterfree', 178, 'flying', 'bug')
Pokemon('weedle', 39, 'poison', 'bug')
Pokemon('kakuna', 72, 'poison', 'bug')
Pokemon('beedrill', 178, 'poison', 'bug')
Pokemon('pidgey', 50, 'flying', 'normal')
Pokemon('pidgeotto', 122, 'flying', 'normal')
Pokemon('pidgeot', 216, 'flying', 'normal')
Pokemon('raticate', 145, 'normal', None)
Pokemon('spearow', 52, 'flying', 'normal')
Pokemon('fearow', 155, 'flying', 'normal')
Pokemon('ekans', 58, 'poison', None)
Pokemon('arbok', 157, 'poison', None)
Pokemon('pikachu', 112, 'electric', None)
Pokemon('raichu', 218, 'electric', None)
Pokemon('sandshrew', 60, 'ground', None)
Pokemon('sandslash', 158, 'ground', None)
Pokemon('nidoran-f', 55, 'poison', None)
Pokemon('nidorina', 128, 'poison', None)
Pokemon('nidoqueen', 227, 'ground', 'poison')
Pokemon('nidoran-m', 55, 'poison', None)
Pokemon('nidorino', 128, 'poison', None)
Pokemon('nidoking', 227, 'ground', 'poison')
Pokemon('clefairy', 113, 'fairy', None)
Pokemon('clefable', 217, 'fairy', None)
Pokemon('vulpix', 60, 'fire', None)
Pokemon('ninetales', 177, 'fire', None)
Pokemon('jigglypuff', 95, 'fairy', 'normal')
Pokemon('wigglytuff', 196, 'fairy', 'normal')
Pokemon('zubat', 49, 'flying', 'poison')
Pokemon('golbat', 159, 'flying', 'poison')
Pokemon('oddish', 64, 'poison', 'grass')
Pokemon('gloom', 138, 'poison', 'grass')
Pokemon('vileplume', 221, 'poison', 'grass')
Pokemon('paras', 57, 'grass', 'bug')
Pokemon('parasect', 142, 'grass', 'bug')
Pokemon('venonat', 61, 'poison', 'bug')
Pokemon('venomoth', 158, 'poison', 'bug')
Pokemon('diglett', 53, 'ground', None)
Pokemon('dugtrio', 149, 'ground', None)
Pokemon('meowth', 58, 'normal', None)
Pokemon('persian', 154, 'normal', None)
Pokemon('psyduck', 64, 'water', None)
Pokemon('golduck', 175, 'water', None)
Pokemon('mankey', 61, 'fighting', None)
Pokemon('primeape', 159, 'fighting', None)
Pokemon('growlithe', 70, 'fire', None)
Pokemon('arcanine', 194, 'fire', None)
Pokemon('poliwag', 60, 'water', None)
Pokemon('poliwhirl', 135, 'water', None)
Pokemon('poliwrath', 230, 'fighting', 'water')
Pokemon('abra', 62, 'psychic', None)
Pokemon('kadabra', 140, 'psychic', None)
Pokemon('alakazam', 225, 'psychic', None)
Pokemon('machop', 61, 'fighting', None)
Pokemon('machoke', 142, 'fighting', None)
Pokemon('machamp', 227, 'fighting', None)
Pokemon('bellsprout', 60, 'poison', 'grass')
Pokemon('weepinbell', 137, 'poison', 'grass')
Pokemon('victreebel', 221, 'poison', 'grass')
Pokemon('tentacool', 67, 'poison', 'water')
Pokemon('tentacruel', 180, 'poison', 'water')
Pokemon('geodude', 60, 'ground', 'rock')
Pokemon('graveler', 137, 'ground', 'rock')
Pokemon('golem', 223, 'ground', 'rock')
Pokemon('ponyta', 82, 'fire', None)
Pokemon('rapidash', 175, 'fire', None)
Pokemon('slowpoke', 63, 'psychic', 'water')
Pokemon('slowbro', 172, 'psychic', 'water')
Pokemon('magnemite', 65, 'steel', 'electric')
Pokemon('magneton', 163, 'steel', 'electric')
Pokemon('farfetchd', 132, 'flying', 'normal')
Pokemon('doduo', 62, 'flying', 'normal')
Pokemon('dodrio', 165, 'flying', 'normal')
Pokemon('seel', 65, 'water', None)
Pokemon('dewgong', 166, 'ice', 'water')
Pokemon('grimer', 65, 'poison', None)
Pokemon('muk', 175, 'poison', None)
Pokemon('shellder', 61, 'water', None)
